NAME,DP05_0001E,DP02_0016E,DP02_0112E,DP03_0025E,Median Household Income,DP03_0119PE
"Cleburne city, Texas",29595,3.3,6291,24.7,49046,12.2
"Grandview city, Texas",1895,3.27,376,28.4,43444,17.4
"Fritch city, Texas",3028,3.79,58,20.6,53224,3.7
"Deport city, Texas",653,3.15,10,28,36250,12.6
"Wharton city, Texas",8723,3.35,2500,24.4,37213,17.1
"Bangs city, Texas",1577,3.17,45,23.1,42667,9.8
"Anderson city, Texas",188,2.57,11,18.3,54167,1.6
"Groves city, Texas",15775,3.22,3183,16.9,52992,9.8
"Nederland city, Texas",17284,3.07,1727,18.1,65510,6.6
"Seven Oaks city, Texas",91,3.68,0,N,33214,13.6
"Benavides city, Texas",1685,3.25,1017,36.7,31811,21.6
"Marathon CDP, Texas",493,2.52,263,11.8,47188,3.1
"Bastrop city, Texas",8164,3.2,1147,31,52850,7
"La Feria city, Texas",7314,4.1,4141,21.1,38625,22
"San Benito city, Texas",24474,3.94,14506,19.5,26583,36.7
"Tierra Bonita CDP, Texas",60,3.11,41,N,-,0
"Como town, Texas",758,3.41,256,21.1,34091,26.8
"Fowlerton CDP, Texas",337,3.92,0,N,-,0
"Brownsville city, Texas",182083,4,143623,20.1,35636,28.3
"University Park city, Texas",24692,3.33,2505,18.7,211741,2.1
"Tioga town, Texas",921,2.93,163,31.4,52841,12.4
"Van Alstyne city, Texas",3437,3.09,113,28.2,60848,10.5
"Odem city, Texas",2581,3.84,1370,22.1,43534,23.8
"Lago CDP, Texas",382,4.72,305,N,-,35.8
"New Deal town, Texas",714,3.64,217,22.8,49531,16
"Chireno city, Texas",457,3.64,59,37.7,36528,13.9
"Brenham city, Texas",16616,3.53,3169,14.5,44188,15.1
"Citrus City CDP, Texas",2843,4.48,2437,20.8,14113,71.8
"Buffalo city, Texas",1815,3.98,631,21.1,44327,27.6
"Donna city, Texas",16507,3.9,12174,20,30066,29
"Rocky Mound town, Texas",63,3.75,7,63.1,57188,0
"Liverpool city, Texas",464,3.27,35,39.2,37679,12.1
"New Hope town, Texas",665,2.92,44,33.5,77813,10.3
"Eastland city, Texas",3888,4.82,788,14.1,26763,14.4
"Abernathy city, Texas",3144,3.05,692,19.5,49020,13.9
"Annetta South town, Texas",491,3.04,14,31.9,100250,9.5
"East Tawakoni city, Texas",829,3.38,45,45.5,43438,8.5
"Oilton CDP, Texas",307,3.06,281,36,57500,47.7
"Timbercreek Canyon village, Texas",437,2.72,16,29.2,89688,0.7
"Nocona city, Texas",2958,2.94,435,21.3,33236,21.5
"La Victoria CDP, Texas",123,3.32,123,N,58523,0
"Hedley city, Texas",321,3.48,47,20.6,26625,13.9
"Rockport city, Texas",10238,3.16,1253,17,59549,13.8
"Beaumont city, Texas",118424,3.19,20700,18.5,45268,15.1
"Waco city, Texas",131996,3.31,29473,17.7,36004,18.7
"Winnsboro city, Texas",3392,3.44,260,16.6,31652,19.8
"Serenada CDP, Texas",1679,3.16,70,25.4,84931,0.6
"Falcon Heights CDP, Texas",0,-,0,-,-,-
"La Rosita CDP, Texas",34,5.67,34,N,-,0
"Rule town, Texas",632,3.1,121,16.2,30417,31
"Celeste city, Texas",870,3.44,12,35.7,41375,10.9
"Glenn Heights city, Texas",12257,3.8,2842,33.8,60836,12.5
"Rising Star town, Texas",1070,4.89,84,14.7,35865,16.1
"Lake Kiowa CDP, Texas",2119,2.39,49,39.6,78194,5.5
"Lexington town, Texas",1330,3.14,47,29.8,44773,9.6
"Stinnett city, Texas",1462,3.18,134,17.9,42109,17.5
"Runaway Bay city, Texas",1880,3.07,150,29.9,79167,2.8
"Farwell city, Texas",1524,3.13,475,17.5,42589,12.6
"Lone Oak city, Texas",786,3.49,17,24.3,53750,7.7
"Point Venture village, Texas",930,2.9,73,43.5,84500,3.2
"Escobares city, Texas",2512,4.74,2202,20,19547,49.6
"Ames city, Texas",1164,3.7,20,28.9,24907,37.3
"Southmayd city, Texas",993,3.18,88,24.7,43333,12.8
"Whitesboro city, Texas",3906,2.94,619,24,52974,13.7
"Whitewright town, Texas",1960,3.27,63,32.1,39076,17.6
"Idalou city, Texas",2123,3.16,613,18.8,56250,10.9
"Lubbock city, Texas",247323,3.18,52795,16.4,47326,11.9
"Slaton city, Texas",6037,3.27,1299,19.3,38313,17.4
"Allen city, Texas",96865,3.41,22984,27.7,104132,3.8
"Parker city, Texas",4388,3.62,994,31.4,136557,4.2
"Wheeler city, Texas",1612,2.98,596,16.7,50270,12.9
"Canton city, Texas",3716,2.96,204,24.4,44344,5.5
"Edgewood town, Texas",1927,3.71,177,33.5,36765,12.8
"Bayview town, Texas",447,3.3,77,26,78882,3.5
"Del Mar Heights CDP, Texas",135,3.55,107,N,-,31.6
"El Camino Angosto CDP, Texas",178,4.92,84,-,-,100
"Indian Lake town, Texas",804,3.63,423,23.9,34063,23.2
"Laguna Heights CDP, Texas",3174,4.38,2266,16.9,22371,36.4
"Socorro city, Texas",33587,4.01,27630,29.1,33464,27.1
"Dayton city, Texas",7615,3.48,887,26.1,54857,8.9
"Highland Park town, Texas",9071,3.06,613,17.3,200208,1.2
"Sunnyvale town, Texas",6077,3.41,1640,29.5,137721,1.4
"Poteet city, Texas",3388,3.58,1388,24.2,41806,19.3
"Hughes Springs city, Texas",1813,3.58,92,23,36645,19.7
"Mertzon city, Texas",842,3.26,170,26.7,64125,13.5
"Lolita CDP, Texas",911,3.42,382,12.3,79315,9.2
"Roma Creek CDP, Texas",0,-,0,-,-,-
"Aubrey city, Texas",3126,3.16,207,29,65547,1.6
"Burke city, Texas",727,3.08,100,17,37228,16.5
"Poynor town, Texas",291,3.8,0,31.6,50833,17.4
"Homestead Meadows North CDP, Texas",5397,4.17,3782,27.7,33500,29.9
"Loraine town, Texas",478,2.85,185,22.7,43068,8.1
"Dublin city, Texas",3614,3.45,1367,17.7,41074,28.6
"Stephenville city, Texas",19929,3.37,2850,17.1,44204,11.2
"Brazoria city, Texas",3088,2.99,320,22.3,52634,15.1
"Freeport city, Texas",12082,3.75,5948,15.7,36673,20.9
"Aquilla city, Texas",166,2.87,0,24.1,42000,15.4
"Tynan CDP, Texas",246,3.92,125,28.2,51528,18.3
"Carthage city, Texas",6702,3.02,434,19.7,48191,10.6
"Uvalde city, Texas",16256,4.05,9001,17.4,39494,15.2
"Uvalde Estates CDP, Texas",1633,3.18,1211,15.6,-,27.3
"Azle city, Texas",11607,3.18,566,32.1,61946,5.9
"Baird city, Texas",1759,3.28,145,19.7,43813,8.9
"Cross Plains town, Texas",1365,4.42,15,34.2,30833,12.7
"Nome city, Texas",392,3.02,19,27.7,65739,0
"Green Valley Farms CDP, Texas",471,3.11,352,25,-,36.4
"Grays Prairie village, Texas",320,3.44,5,38.3,80000,0
"Freer city, Texas",2734,3.4,1271,17.2,54456,16.3
"Round Top town, Texas",101,2.22,5,42.7,88125,0
"Yznaga CDP, Texas",27,-,27,N,-,-
"Shallowater city, Texas",2523,3.28,366,20.7,74375,3.6
"Harker Heights city, Texas",29548,3.45,4694,21.5,71817,11
"Fruitvale city, Texas",447,3.19,22,36.1,27375,26.9
"Lakeway city, Texas",14147,2.9,1651,31.5,124556,2.6
"Uhland city, Texas",1233,3.8,609,32.5,44659,13
"Jefferson city, Texas",2460,3.33,174,22.5,37177,19.4
"Corral City town, Texas",7,3.5,0,N,-,0
"Follett city, Texas",521,3.7,133,19.9,61875,10.8
"Bardwell city, Texas",727,3.79,317,29.3,46023,13.1
"Rosebud city, Texas",1593,3.82,300,31.7,33750,33.4
"Stockdale city, Texas",1318,3.54,323,22.6,54000,11.9
"Lakeside town (San Patricio County), Texas",330,2.79,57,36.2,60000,4.1
"Santa Rosa town, Texas",2843,4.01,1892,18.7,25658,39.4
"Olmito CDP, Texas",1314,3.66,938,23.2,41447,24
"Ratamosa CDP, Texas",253,4.52,117,N,-,100
"White Deer town, Texas",849,3.43,80,19.6,74375,0
"Jourdanton city, Texas",4259,3.51,1515,23.1,61544,10.2
"Douglassville town, Texas",251,2.78,0,28.6,32500,11.8
"Queen City city, Texas",1734,3.1,50,19.4,42115,3.9
