NAME,DP05_0001E,DP02_0016E,DP02_0112E,DP03_0025E,Median Household Income,DP03_0119PE
"Curtice CDP, Ohio",1695,3.1,29,28.5,98625,3.8
"Williston CDP, Ohio",480,2.13,0,25.6,56250,0
"Lakeside CDP, Ohio",698,2.05,17,29.5,47875,0
"Lewistown CDP, Ohio",135,2.17,0,N,-,0
"East Liberty CDP, Ohio",199,3.28,0,N,66296,0
"Chippewa Park CDP, Ohio",777,2.3,0,33.6,28750,25.7
"Sixteen Mile Stand CDP, Ohio",3036,3,655,28.4,86473,1.9
"Taylor Creek CDP, Ohio",3305,2.9,59,25.4,72885,4.4
"Skyline Acres CDP, Ohio",2383,3.53,0,22.4,34464,32.6
"Monfort Heights CDP, Ohio",13154,3.11,320,23,73472,4.6
"Bridgetown CDP, Ohio",13993,3.04,327,24.5,62719,6.2
"Mack CDP, Ohio",11192,3.18,362,26.3,89113,3
"Delhi Hills CDP, Ohio",5330,3.09,112,27,89476,2.5
"Concorde Hills CDP, Ohio",714,3.09,21,19.5,146563,0
"Camp Dennison CDP, Ohio",244,2.7,0,19.2,69934,0
"Ridgeville Corners CDP, Ohio",415,3.08,0,12.2,67303,0
"Minford CDP, Ohio",428,2.39,0,15.9,-,15.9
"Pettisville CDP, Ohio",420,3.1,8,15.4,63214,0
"Northridge CDP, Ohio",7115,2.62,198,25.1,60104,2.5
"Lafferty CDP, Ohio",190,5.31,0,18.4,-,0
"Bannock CDP, Ohio",261,3.03,0,16.4,85357,0
"Glencoe CDP, Ohio",157,2.32,0,N,39350,0
"Lansing CDP, Ohio",768,3.05,0,17.3,41175,11.6
"Wolfhurst CDP, Ohio",1247,3.17,30,14.5,23488,22.1
"Carbon Hill CDP, Ohio",298,2.83,0,32.9,36667,0
"Haydenville CDP, Ohio",233,2.16,0,N,32204,20.3
"Rockbridge CDP, Ohio",83,3.21,0,N,-,0
"Hide-A-Way Hills CDP, Ohio",622,2.39,0,45.2,98510,0
"West Carrollton city, Ohio",12963,2.92,921,21.5,41038,13.3
"Friendship CDP, Ohio",192,3.08,0,22.6,-,26
"McDermott CDP, Ohio",578,2.23,0,N,57566,3.1
"Clarktown CDP, Ohio",604,2.27,0,24.9,41905,17.4
"Kings Mills CDP, Ohio",1483,3.01,15,19.2,87083,3.8
"Newport CDP (Shelby County), Ohio",176,3.21,0,12.2,-,0
"Austinburg CDP, Ohio",595,2.75,62,16.9,23177,46.2
"New Burlington CDP, Ohio",4345,2.88,198,24.9,61400,13.7
"Pleasant Hills CDP, Ohio",685,2.58,0,23.4,58894,0
"Remington CDP, Ohio",237,3.23,27,22,44722,0
"Rossmoyne CDP, Ohio",1749,2.6,0,20.9,45385,19.6
"Salem Heights CDP, Ohio",3132,2.95,141,21.6,79850,0
"Shawnee CDP, Ohio",601,2.35,8,23.5,67476,13.5
"Plainville CDP, Ohio",135,2.24,0,N,-,0
"Coldstream CDP, Ohio",1218,3.1,41,24,173281,5.9
"Delshire CDP, Ohio",3135,3.3,151,26.4,67266,2.9
"Dry Ridge CDP, Ohio",2607,2.8,234,24.8,69405,4.6
"Dunlap CDP, Ohio",1763,2.67,18,23.6,128438,0
"Highpoint CDP, Ohio",1409,2.94,395,36.8,67941,4.4
"Hooven CDP, Ohio",399,2.65,0,17.3,63125,6.7
"Connorville CDP, Ohio",230,2.57,7,28.2,64750,5.2
"East Springfield CDP, Ohio",712,4.35,0,40.9,55955,38.8
"Goshen CDP, Ohio",529,2.9,0,25.3,48421,0
"Lake Milton CDP, Ohio",619,2.39,0,36.3,35703,27.7
"Marlboro CDP, Ohio",321,2.91,0,14.2,46467,42.5
"Mitiwanga CDP, Ohio",252,2.36,0,26,68482,15.6
"Nettle Lake CDP, Ohio",277,2.61,17,43.7,14643,50
"Parkman CDP, Ohio",123,1.94,0,21.2,69099,0
"Rose Farm CDP, Ohio",269,4,0,N,-,21
"Valley City CDP, Ohio",512,2.78,0,37.3,65000,0
"Westminster CDP, Ohio",425,3.23,36,20,60000,23.6
"Elizabethtown CDP, Ohio",365,3.13,0,22.1,-,21.3
"Miami Heights CDP, Ohio",4740,3.07,86,27.9,85699,1.3
"Miamitown CDP, Ohio",1531,3.71,94,24.3,51023,26.5
"New Baltimore CDP, Ohio",817,3,11,37.4,57036,1.7
"Kidron CDP, Ohio",1034,3.17,278,20.1,70250,10.1
"Sterling CDP, Ohio",510,3.01,0,26.5,61759,3.5
"Sulphur Springs CDP, Ohio",134,3.77,0,N,86023,0
"Oceola CDP, Ohio",18,2,0,N,-,0
"New Pittsburg CDP, Ohio",389,3.66,0,31.7,71406,0
"Brownsville CDP, Ohio",0,-,0,-,-,-
"Marne CDP, Ohio",745,3.51,0,25.3,60481,10.7
"Etna CDP, Ohio",890,3.04,0,22.9,71050,0
"Lafayette CDP, Ohio",229,2.49,7,42.9,67614,9.1
"Plumwood CDP, Ohio",334,3.11,17,20.7,39375,27.8
"Orient CDP, Ohio",243,3.8,6,24.8,43750,3.6
"Robertsville CDP, Ohio",372,2.81,0,24.2,52054,17.6
"Richville CDP, Ohio",3234,2.86,62,18.9,56667,6.3
"North Lawrence CDP, Ohio",270,2.98,0,N,49205,0
"Crystal Rock CDP, Ohio",94,2.83,0,N,-,0
"Beulah Beach CDP, Ohio",39,3.25,0,N,-,0
"Miamiville CDP, Ohio",233,3.51,0,23.8,49931,0
"Raymond CDP, Ohio",149,3.39,0,N,-,24.2
"New California CDP, Ohio",1951,3.72,58,24.1,122031,0
"Winesburg CDP, Ohio",310,2.9,104,10.9,81307,0
"Berlin CDP, Ohio",1089,3.54,247,9.5,84088,0
"Lake Buckhorn CDP, Ohio",699,3.97,0,19.8,54550,0
"Walnut Creek CDP, Ohio",1177,3.75,447,20.7,49342,7.3
"Fresno CDP, Ohio",325,3.88,0,30.5,-,0
"Canal Lewisville CDP, Ohio",336,2.71,0,17.9,28571,17.4
"Sardis CDP, Ohio",559,2.96,12,17.7,50500,0
"Hannibal CDP, Ohio",352,2.29,0,21.9,-,18
"Tuppers Plains CDP, Ohio",549,2.99,0,18.2,48967,44.7
"Buford CDP, Ohio",195,3.43,0,N,-,0
"Rocky Fork Point CDP, Ohio",694,2.65,0,34.9,22813,47.4
"Highland Holiday CDP, Ohio",382,2.8,17,N,20750,38.9
"New Hampshire CDP, Ohio",189,3.42,0,21.8,-,0
"Alvordton CDP, Ohio",198,2.43,0,19.5,22266,0
"Kunkle CDP, Ohio",287,3.02,0,12.1,16801,16.4
"Pulaski CDP, Ohio",116,1.83,0,26.8,51719,0
"Lake Seneca CDP, Ohio",593,2.5,0,24.8,54946,3.7
"Derby CDP, Ohio",382,3.06,0,N,54861,22.3
"Bentonville CDP, Ohio",175,2.21,0,N,-,0
"Lake Mohawk CDP, Ohio",1707,2.96,0,35.5,85089,3.1
"Cinnamon Lake CDP, Ohio",1251,3.26,75,35.8,61343,10.6
"Howard CDP, Ohio",78,3.67,0,N,-,61.1
"Sawyerwood CDP, Ohio",1323,2.82,0,16.3,32462,20.1
"Twinsburg Heights CDP, Ohio",1010,3.55,0,19.3,40179,47
"Apple Valley CDP, Ohio",5520,2.86,64,31.6,60778,5.4
"Bladensburg CDP, Ohio",168,2.9,0,17.2,40938,27.6
"Atwater CDP, Ohio",1051,3.83,0,36.7,49539,7.3
"Vickery CDP, Ohio",44,2.59,0,76.7,-,0
"Wightmans Grove CDP, Ohio",26,2,0,N,-,0
"Hessville CDP, Ohio",276,3.04,14,20.3,36098,31.4
"Whites Landing CDP, Ohio",464,3.07,17,31,-,27.1
"Tippecanoe CDP, Ohio",37,5.29,0,N,-,0
"Lake Lorelei CDP, Ohio",1296,3.19,45,43.8,57500,2
"Lake Waynoka CDP, Ohio",990,2.75,0,45.3,85762,0
"Good Hope CDP, Ohio",283,3.17,0,N,-,34.7
"Pancoastburg CDP, Ohio",116,2.76,0,N,-,0
"Darbydale CDP, Ohio",686,2.98,0,27,-,26.2
"Pump Back CDP, Oklahoma",191,2.93,0,17.7,32917,16.9
"Tecumseh city, Oklahoma",6571,3.21,339,25.4,40525,12.9
"Lost City CDP, Oklahoma",962,3.64,63,35.8,41058,3.5
"Keota town, Oklahoma",570,3.3,3,25.4,26667,20.7
"Tamaha town, Oklahoma",116,2.47,23,29.1,24038,25
"Garvin town, Oklahoma",270,3.31,8,19,35000,22.2
"Bixby city, Oklahoma",24939,3.29,1648,23.8,80638,4.9
"Tullahassee town, Oklahoma",181,3.77,0,39.9,50750,13.6
"Liberty town, Oklahoma",202,2.98,9,27.8,80625,5
"Oakhurst CDP, Oklahoma",2543,3.05,52,19.2,42531,13.5
"Sand Springs city, Oklahoma",19727,3.04,636,21.9,54533,8.5
"Boswell town, Oklahoma",655,3.2,15,22.7,20956,31.1
"Sugden town, Oklahoma",33,2.82,0,23.8,-,0
"Tahlequah city, Oklahoma",16481,3.46,1232,17.4,32356,19.5
"Tenkiller CDP, Oklahoma",687,4.5,25,25.2,44844,13.7
"Randlett town, Oklahoma",304,2.7,0,20.3,51094,5.7
"McCurtain town, Oklahoma",404,2.9,22,27.1,38929,19.6
"Valliant town, Oklahoma",776,2.78,11,16,24821,29.4
"Maramec town, Oklahoma",87,2.8,4,23.2,31875,0
"Broken Arrow city, Oklahoma",106264,3.17,9629,20.7,70788,5.6
"Byng town, Oklahoma",1190,2.98,73,19,61458,6.6
"Burbank town, Oklahoma",82,2.13,0,20.3,40000,9.4
"Pawhuska city, Oklahoma",3432,3.12,141,16,31611,18.4
"Shattuck town, Oklahoma",1257,3.16,108,18.8,44432,13.4
"Dover town, Oklahoma",352,3.64,99,16.2,44792,23.4
"Cole town, Oklahoma",653,3.27,4,36.9,58750,2.7
"Miami city, Oklahoma",13428,3.02,866,16.7,35566,20
"Headrick town, Oklahoma",52,2.17,0,N,41458,11.1
"Fairview city, Oklahoma",2634,2.97,52,18.5,48264,8.5
"Pocasset town, Oklahoma",167,3.39,0,32.4,29583,14.6
"Boise City city, Oklahoma",1137,2.89,268,12.8,44063,11.7
"Byron town, Oklahoma",38,2.38,0,24.7,-,0
"Lambert town, Oklahoma",9,3,0,N,-,0
"Fanshawe town, Oklahoma",436,3.19,14,33.8,52083,8.3
"Spiro town, Oklahoma",2715,3.39,116,22.4,34851,21.4
"Roland town, Oklahoma",3529,3.14,118,21.8,34342,22
"Goltry town, Oklahoma",238,2.71,2,29.6,52292,8.2
"Muldrow town, Oklahoma",3277,3.36,52,28.9,31851,27.6
"Paradise Hill town, Oklahoma",83,3.18,0,40.5,75625,9.1
"Park Hill CDP, Oklahoma",3985,3.72,457,22,39531,12
"Pettit CDP, Oklahoma",868,3.12,41,29.9,57500,18
"Shady Grove CDP (Cherokee County), Oklahoma",428,3.35,10,29.6,40694,17.4
"Whitefield town, Oklahoma",503,3.34,6,24.7,41591,12.4
"Wright City town, Oklahoma",685,3.05,18,21.3,25500,29.2
"Blackburn town, Oklahoma",80,2.41,0,N,36250,0
"Hallett town, Oklahoma",124,3.29,3,32.1,28750,19.4
"Terlton town, Oklahoma",102,3.15,3,31.9,25000,29.6
"Wagoner city, Oklahoma",8688,3.1,150,26.2,33839,18.9
"Helena town, Oklahoma",1485,3.13,173,23.1,61719,10.3
"Jet town, Oklahoma",198,2.56,2,20,56563,9.3
"Capron town, Oklahoma",0,-,0,-,-,-
"Waynoka city, Oklahoma",1149,3.11,111,17.3,35682,11.6
"Gans town, Oklahoma",271,3.23,5,27.2,29167,30.7
"Sallisaw city, Oklahoma",8574,2.87,411,19.7,30000,25.5
"Millerton town, Oklahoma",289,3.23,0,18.4,27292,22.8
"Smithville town, Oklahoma",91,3.09,0,N,19583,36.4
"Westport town, Oklahoma",408,3,6,29.7,67250,0.8
"Kenefic town, Oklahoma",142,3.47,0,26.5,36250,0
"Hollis city, Oklahoma",2023,2.57,388,12.8,33167,14
"Barnsdall city, Oklahoma",1081,3.03,3,21.3,34375,18.1
"McCord CDP, Oklahoma",1606,2.96,55,20,61477,6.6
"Shidler city, Oklahoma",325,3,2,23.7,37813,14.5
"Aline town, Oklahoma",147,2.75,1,17.3,53750,2.3
"Greasy CDP, Oklahoma",253,2.85,42,30.4,30625,12.2
"Crescent city, Oklahoma",1306,3.23,89,36.3,36938,12.9
"Langston town, Oklahoma",1243,4.25,41,16.6,48333,17.3
"Hoffman town, Oklahoma",111,3.06,0,25.3,31250,12.9
"Bell CDP, Oklahoma",421,3.13,128,33.2,23421,31
"Chewey CDP, Oklahoma",73,2,12,N,21705,12.5
"Rocky Mountain CDP, Oklahoma",412,3.12,12,29.1,29125,21.3
"West Peavine CDP, Oklahoma",360,3.9,43,31.8,31875,30.6
"Zion CDP, Oklahoma",41,2.73,0,8.8,117917,0
"Bristow city, Oklahoma",4197,3.17,81,23.4,29982,24.6
"Slick town, Oklahoma",126,3.23,2,21.8,34583,25.8
"Altus city, Oklahoma",19181,3.04,3434,12.9,41340,15.5
"Jefferson town, Oklahoma",13,3.25,0,N,38750,0
"Nash town, Oklahoma",255,2.7,0,26.1,81750,0
"Tryon town, Oklahoma",573,3.14,5,30,43125,7.9
"Jones town, Oklahoma",2971,3.27,103,25,55559,8.5
"Smith Village town, Oklahoma",82,2.65,0,33.9,47188,0
"Valley Brook town, Oklahoma",877,3.5,72,21.6,29063,30.6
"Woodlawn Park town, Oklahoma",164,2.49,4,16.5,-,0
"Centrahoma city, Oklahoma",79,2.95,0,50,18750,42.1
"Guthrie city, Oklahoma",10984,3.41,267,23.8,44084,14.1
"Dewar town, Oklahoma",892,3.34,32,21.9,37647,18.4
"Morris city, Oklahoma",1521,3.37,49,26.9,42625,19.8
"Goodwell town, Oklahoma",1370,3.59,221,14.1,39340,11
"Hardesty town, Oklahoma",331,4.98,109,22.3,41705,14
"Christie CDP, Oklahoma",111,2.67,0,N,-,0
"Lyons Switch CDP, Oklahoma",332,3.32,32,17.4,40625,20.7
"Knowles town, Oklahoma",5,2,1,N,-,0
"Sapulpa city, Oklahoma",20477,3.27,901,21.4,46282,14.2
"Shamrock town, Oklahoma",27,3,0,N,41250,0
"Martha town, Oklahoma",137,3.13,19,18.7,37500,10
"Corn town, Oklahoma",669,3.34,27,27.4,46719,10.5
"Manchester town, Oklahoma",68,2.86,0,N,-,19
"Carney town, Oklahoma",573,3.55,0,27.7,40446,10.6
"Stroud city, Oklahoma",2719,3.19,69,21.5,45882,11
"Lake Aluma town, Oklahoma",63,2.57,0,17.9,201250,0
"Nichols Hills city, Oklahoma",3866,2.83,164,14.6,144833,1.4
"Velma town, Oklahoma",625,3.26,15,20.8,52500,22.6
"Coalgate city, Oklahoma",1995,3.19,39,19.2,32781,16.7
"Tupelo city, Oklahoma",340,3.24,11,18.4,25417,30.1
"Texhoma town, Oklahoma",749,3.91,317,11.9,39583,8.9
"Shady Grove CDP (McIntosh County), Oklahoma",293,3.45,0,N,30809,27.6
"Bowlegs town, Oklahoma",415,3.53,19,26.8,37222,13.8
"Pryor Creek city, Oklahoma",9387,3.01,426,18.6,41355,14.8
"Caney town, Oklahoma",199,2.66,1,27.3,36667,20.7
"Ralston town, Oklahoma",361,3.24,0,27.4,36875,16.8
"Burlington town, Oklahoma",161,3.7,0,16.3,48750,0
"Ninnekah town, Oklahoma",1147,3.26,13,18.8,56250,6.2
"Grainola town, Oklahoma",45,4.89,0,10.8,34375,0
"Okemah city, Oklahoma",3217,3.56,249,22.7,30432,32.4
"Scraper CDP, Oklahoma",141,2.26,0,N,-,0
"Kemp town, Oklahoma",137,3.16,11,39.7,21250,15.6
"Mutual town, Oklahoma",107,2.56,10,21.5,63750,23.5
"Bennington town, Oklahoma",288,3.43,11,25.9,29250,18.8
"Justice CDP, Oklahoma",1390,3.07,62,24.4,66250,2.6
"Antlers city, Oklahoma",2685,3.17,57,18,25069,27.7
"Sperry town, Oklahoma",1143,3.09,59,25.7,39345,15.2
"Mill Creek town, Oklahoma",396,3.51,9,23.5,44688,12.4
"Mooreland town, Oklahoma",1771,3.72,12,19.9,63009,16.5
"Amber town, Oklahoma",423,3.04,4,27.3,40469,14.9
"Holdenville city, Oklahoma",5653,3.5,317,19.1,33689,17.4
"Dotyville CDP, Oklahoma",117,3.41,0,N,-,0
"Stratford town, Oklahoma",1438,3.7,24,24.1,31758,22
"Hunter town, Oklahoma",190,3.4,0,26.8,47083,6.3
"Cowlington town, Oklahoma",109,2.88,0,33.7,30000,25
"Redbird town, Oklahoma",94,3.91,0,41.4,35625,4.5
"Tipton town, Oklahoma",842,2.82,80,21.1,35625,11.8
"Madill city, Oklahoma",3864,3.25,1181,17.4,44239,11.7
"Paden town, Oklahoma",540,3.27,13,28,31667,22
"Taft town, Oklahoma",172,2.74,0,24.4,36875,21.1
"Calera town, Oklahoma",2741,3.56,119,20.1,44881,11.4
"Adair town, Oklahoma",860,3.33,22,21.8,46979,15.9
"Foss town, Oklahoma",170,2.88,12,27.2,41250,7.1
"Kendrick town, Oklahoma",55,2.69,2,18.6,38125,0
"Harrah city, Oklahoma",5934,3.03,108,30.9,59872,5.1
"Peavine CDP, Oklahoma",439,3.17,17,22.7,32308,14.4
"Chandler city, Oklahoma",3099,3.34,80,24.9,42500,13.7
"Mangum city, Oklahoma",2886,3.04,207,20,33735,10.4
"Stilwell city, Oklahoma",4002,3.58,461,16.3,24000,34.3
"Haileyville city, Oklahoma",653,2.74,12,22,32917,21.8
"Davenport town, Oklahoma",875,3.4,27,18.8,35455,16.1
"Phillips town, Oklahoma",150,3.08,0,9.7,30833,21.1
"Gene Autry town, Oklahoma",140,3.69,12,27.5,36250,3.8
"Carrier town, Oklahoma",49,3,2,27.7,83750,0
"Fargo town, Oklahoma",384,3.71,32,22.7,43125,6
"Dale CDP, Oklahoma",166,3.21,5,29.6,65250,0
"Eagletown CDP, Oklahoma",623,3.44,3,27.2,27045,24.8
"Sand Hill CDP, Oklahoma",414,3.1,0,22.7,59286,22.6
"Pinhook Corner CDP, Oklahoma",222,2.96,23,N,-,33.8
"IXL town, Oklahoma",61,4.22,2,21.3,19375,0
"Marietta CDP, Oklahoma",135,5.29,17,14.1,81250,12.5
"Carlisle CDP, Oklahoma",554,3.29,0,28.6,75341,20.4
"Stoney Point CDP, Oklahoma",261,3.42,3,31.7,32917,25.4
"Friendship town, Oklahoma",42,2.64,24,N,65781,0
"Perkins city, Oklahoma",2854,3.21,21,18.2,43288,24.8
"Bridge Creek town, Oklahoma",340,3.13,0,28,77500,8.7
"Oologah town, Oklahoma",1293,3.27,51,27.3,52150,6.9
"Sweetwater town, Oklahoma",113,3.13,10,25.9,40000,0
"Chelsea town, Oklahoma",2003,3.04,91,24.6,33875,24.6
"Verdigris town, Oklahoma",4291,3.19,257,23.1,57292,7.2
"Foster town, Oklahoma",138,3.08,7,25.6,46250,10.5
"Katie town, Oklahoma",369,2.56,7,25.4,60000,8.8
"Tiawah CDP, Oklahoma",140,3.35,0,27.5,94643,0
"New Woodville town, Oklahoma",189,4.73,0,17.8,71786,17.5
"Beaver town, Oklahoma",1624,3.05,423,12.2,48750,10.7
"Ringwood town, Oklahoma",621,3.9,259,27.7,49625,4.1
"Blackgum CDP, Oklahoma",93,3.35,11,N,21364,26.9
"Box CDP, Oklahoma",130,2.46,0,N,67768,20
"Badger Lee CDP, Oklahoma",82,3.18,0,N,-,77.3
"Nicut CDP, Oklahoma",242,3.08,54,34.2,23036,20.3
"Bee CDP, Oklahoma",158,4.08,0,N,23696,0
"Tuskahoma CDP, Oklahoma",120,3.31,2,47.3,18125,48.3
"Lane CDP, Oklahoma",287,2.93,4,26.5,60357,22.5
"Elm Grove CDP, Oklahoma",256,4.25,12,N,30278,38.2
"Mulberry CDP, Oklahoma",143,4.23,14,N,30625,16.7
"Old Green CDP, Oklahoma",618,3.37,0,22.8,44563,11.6
"Piney CDP, Oklahoma",54,1.83,0,N,-,33.3
"Sportsmen Acres town, Oklahoma",380,3.27,19,18.6,45139,22.3
"Bethel Acres town, Oklahoma",3099,3.24,75,26.5,69241,4.7
"Tribbey town, Oklahoma",391,3.44,12,34.3,42727,11.5
"Weatherford city, Oklahoma",11894,2.95,957,19,45593,12.2
"Waurika city, Oklahoma",2123,3.11,84,25.6,35052,20.1
"Kingston town, Oklahoma",1705,3.16,107,20.8,39444,10.3
"Apache town, Oklahoma",1524,3.43,52,23.2,40288,20
"Sayre city, Oklahoma",4625,3.07,485,16.5,29500,11.9
"Bluejacket town, Oklahoma",326,3.73,0,24.2,39375,7.5
"Atwood town, Oklahoma",59,2.67,0,21.3,-,26.7
"Stuart town, Oklahoma",164,3.71,2,30,37500,9.8
"Indiahoma town, Oklahoma",346,3.49,17,25,49167,10.5
"Washington town, Oklahoma",717,3.74,34,27.6,65250,6.3
"Glenpool city, Oklahoma",12929,3.26,854,23.4,68266,9.8
"Indianola town, Oklahoma",127,3.09,3,34.4,33750,14.3
"Pittsburg town, Oklahoma",199,2.73,3,23.4,37917,14.5
"Savanna town, Oklahoma",651,2.75,11,17.7,50000,6.3
"Rocky town, Oklahoma",167,2.57,4,21,47750,8.9
"Delaware town, Oklahoma",425,3.09,27,27.5,34792,15.3
"Nowata city, Oklahoma",3688,3.05,85,25.2,31525,22.2
"Enid city, Oklahoma",50809,3.07,6546,15.3,48853,10.9
"Garber city, Oklahoma",865,3.45,19,22.2,34083,3.8
"Lone Wolf town, Oklahoma",428,3.15,31,30.5,43750,9.6
"Mountain View town, Oklahoma",751,2.76,16,23.7,37813,10
"Mountain Park town, Oklahoma",511,3.52,33,29,34167,27.4
"Turley CDP, Oklahoma",2580,3.27,176,22.4,32390,17.2
"Covington town, Oklahoma",512,3.76,8,22.8,41406,12.4
"Lahoma town, Oklahoma",539,3.3,23,23,60781,10.9
"Roosevelt town, Oklahoma",303,2.61,25,26.3,42656,12.9
"Red Rock town, Oklahoma",339,3.41,6,20.3,48594,8.6
"Bushyhead CDP, Oklahoma",1186,2.84,46,29.6,45909,16.3
"Arapaho town, Oklahoma",642,2.95,49,19.1,54063,11.3
"Thomas city, Oklahoma",1309,2.89,0,17,51250,16.2
"Hastings town, Oklahoma",62,2.13,0,22,-,0
"Bernice town, Oklahoma",536,2.66,12,22.9,30962,13.2
"Gage town, Oklahoma",490,3.46,6,13.7,41250,16
"Simms CDP, Oklahoma",333,3.11,0,29.5,63393,5.1
"Wainwright town, Oklahoma",179,3.74,0,42.3,39375,41
"Dickson town, Oklahoma",1307,3.17,58,22.8,60000,10.1
"Putnam town, Oklahoma",42,2.92,0,N,-,0
"Sulphur city, Oklahoma",5014,3.1,257,16.1,46380,14.1
"Addington town, Oklahoma",116,3.29,6,37.7,41250,9.7
"Ringling town, Oklahoma",981,3.27,48,21.2,31833,19.7
"Mustang city, Oklahoma",20125,3.33,776,24.5,69966,3.8
"Arkoma town, Oklahoma",1859,2.94,56,18.9,26711,24.8
"Fairfield CDP, Oklahoma",645,3.4,95,16,45208,30.1
"Salem CDP, Oklahoma",60,2.4,0,N,31406,0
"Gate town, Oklahoma",114,3.1,16,16.5,27188,13.8
"Oilton city, Oklahoma",933,2.95,5,23.5,34773,13.2
"Blair town, Oklahoma",731,3.05,51,21.4,48750,26
"Eldorado town, Oklahoma",490,3.16,31,24.3,29643,29.9
"Krebs city, Oklahoma",2054,2.81,96,13.2,41364,12.9
"Dill City town, Oklahoma",591,3.33,2,29.6,52596,14.7
"Elmore City town, Oklahoma",765,3.42,62,23.9,40804,14.7
"Pond Creek city, Oklahoma",904,3.07,32,21,42885,8
"Meeker town, Oklahoma",1149,3.39,7,22,35833,11.1
"Fletcher town, Oklahoma",1173,3.43,10,23.6,48412,9.1
"Ardmore city, Oklahoma",24927,3.3,2355,16.5,44151,13.4
"Camargo town, Oklahoma",100,3.3,0,12.7,46500,0
"Watonga city, Oklahoma",2932,2.48,621,18.6,51891,8.5
"Rosedale town, Oklahoma",43,2.54,8,N,-,38.5
"Perry city, Oklahoma",5006,2.79,32,17.7,49099,7.1
"Inola town, Oklahoma",1910,3.04,22,26.3,46898,14.2
"Goldsby town, Oklahoma",2100,3.1,226,22.3,78750,8.6
"Wyandotte town, Oklahoma",365,3.37,20,23.1,36528,11.1
"Copeland CDP, Oklahoma",1803,2.79,43,28.1,38553,18.2
"Council Hill town, Oklahoma",118,3.09,3,39.6,36875,5.9
"Porum town, Oklahoma",702,3.19,9,31.3,25714,30.1
"Summit town, Oklahoma",150,4.59,4,23.1,28750,27.6
"Cheyenne town, Oklahoma",807,3.43,62,16.4,46544,16.6
"Lone Grove city, Oklahoma",5013,3.12,259,20.3,46591,10.7
"Newkirk city, Oklahoma",2358,3.29,72,18.2,37500,16.6
"Cache city, Oklahoma",2902,3.35,122,19.7,60762,2.9
"Webbers Falls town, Oklahoma",599,3.14,2,24.1,31000,26.9
"Ramona town, Oklahoma",494,3.05,4,27.7,32000,7.8
"Slaughterville town, Oklahoma",4291,3.47,114,28.4,45820,6.1
"Elgin city, Oklahoma",2950,3.44,80,21.5,69710,6.3
"Sterling town, Oklahoma",669,3.06,25,27.6,46250,14.4
"May town, Oklahoma",72,3.17,0,14.8,60250,11.1
"Newcastle city, Oklahoma",9327,3.11,417,26.5,80489,2.1
"Wayne town, Oklahoma",622,3.27,31,24,38750,13.3
"Narcissa CDP, Oklahoma",129,2.36,0,23.9,58542,0
"Lotsee town, Oklahoma",5,5,0,N,-,0
"Mannford town, Oklahoma",3132,3.34,15,25.7,49318,14.2
"Haskell town, Oklahoma",1946,3.41,4,30,40577,18.3
"Reydon town, Oklahoma",126,3.29,2,11.3,25625,12.9
"Healdton city, Oklahoma",2765,3.19,53,25.3,39107,9.6
"Springer town, Oklahoma",603,3.05,33,19,43542,15.8
"Braman town, Oklahoma",195,2.91,1,19.3,36607,20.8
"Kildare town, Oklahoma",82,3.04,2,15.5,61250,0
"Bartlesville city, Oklahoma",36398,2.97,2798,15.4,50826,11.6
"Duchess Landing CDP, Oklahoma",92,2,0,-,-,0
"Yale city, Oklahoma",1097,3.26,2,30.2,34083,9.3
"Hitchcock town, Oklahoma",80,2.58,7,16.2,-,0
"Lawton city, Oklahoma",95168,3.27,8711,14.9,44335,14.3
"Commerce city, Oklahoma",2314,3.26,405,15.1,30608,24.2
"Quapaw town, Oklahoma",755,3.16,34,18.2,31818,25.1
"Skiatook town, Oklahoma",8026,3.28,126,23.9,43409,13.9
"Dripping Springs CDP, Oklahoma",40,2.38,2,35,46250,0
"Flint Creek CDP, Oklahoma",600,4.62,11,31,34464,25
"Zena CDP, Oklahoma",222,3.77,46,28.8,24565,21.3
"Cedar Crest CDP, Oklahoma",203,2.95,22,23.8,32500,39.5
"Grand Lake Towne town, Oklahoma",84,3.09,0,13.5,52500,8.7
"Wynnewood city, Oklahoma",2141,3.12,60,20.5,35542,18.1
"Red Oak town, Oklahoma",629,3.4,18,25.7,36083,15
"Ketchum town, Oklahoma",444,2.87,0,21.8,35057,22
"Welch town, Oklahoma",675,3.32,18,19.9,41172,14.4
"Drummond town, Oklahoma",432,2.96,69,29.1,53125,11.9
"North Enid town, Oklahoma",1110,3.34,99,14.4,72321,4.9
"Gotebo town, Oklahoma",166,2.47,0,23,38750,12.7
"Snyder city, Oklahoma",1438,3.08,65,22.9,34479,15.5
"Billings town, Oklahoma",560,3.42,0,19.2,21250,18.2
"Calvin town, Oklahoma",285,4.12,8,27.3,27045,26.7
"Gerty town, Oklahoma",68,3.16,0,33,34167,21.1
"Wetumka city, Oklahoma",1270,4.08,56,19.6,25450,18.6
"Checotah city, Oklahoma",3202,3.2,87,18.7,34513,20.7
"Valley Park town, Oklahoma",93,7.42,1,24.2,97500,0
"Marland town, Oklahoma",328,3.39,15,22.3,27411,21.6
"Sequoyah CDP, Oklahoma",863,3.46,30,35,78229,6.4
"Eufaula city, Oklahoma",2870,2.81,44,21.1,32306,20.8
"Cushing city, Oklahoma",7793,3.25,321,17.7,37545,17.2
